index,id,effect,colorfullness,edges,r_mean,r_variance,r_kurtosis,r_skewness,g_mean,g_variance,g_kurtosis,g_skewness,b_mean,b_variance,b_kurtosis,b_skewness
54,CR553631042620096512,100,88.24363134,250,292.96875,3294464,207.1500092,14.03932762,292.96875,3220390.5,220.1928101,14.50944519,292.96875,4432580.5,233.98909,15.12478256
55,CR554897680015294464,100,100.2806286,600,281.25,1045821.375,29.19431305,5.265438557,281.25,1781564.5,46.90781784,6.630892277,281.25,1436699.5,43.59527206,6.395826817
56,CR557712429782401024,100,103.0334436,600,375,1850371.125,29.04393768,5.236033916,375,3105318.75,45.71979904,6.528508663,375,2482933.25,40.99045181,6.213836193
57,CR55983283795656704,100,106.8790139,60,109.6875,101612.3438,26.29150581,4.907318115,109.6875,182037.125,41.13295746,6.212123394,109.6875,143942.2813,37.18477249,5.918930054
58,CR559964229596086272,100,63.16933667,250,292.96875,3252797.5,216.8968811,14.38750935,292.96875,3304525.5,211.7661743,14.17407703,292.96875,3301414.25,209.3263092,14.06372738
59,CR562075291921416192,100,106.8790139,60,109.6875,101612.3438,26.29150581,4.907318115,109.6875,182037.125,41.13295746,6.212123394,109.6875,143942.2813,37.18477249,5.918930054
60,CR187620664163696640,100,74.72340681,280,367.5,277581.0938,88.75968933,8.013463974,367.5,259146.0313,126.5273895,10.32587719,367.5,242333.2969,134.7246857,10.54626083
61,CR188980210291441664,100,84.51121575,600,703.125,10125590,55.70610046,7.063774109,703.125,12881665,74.30251312,8.121213913,703.125,8402925,38.65818787,5.858608723
62,CR197424459592761344,100,100.3317388,90,255.9375,1639052.25,51.97692871,7.098694801,255.9375,2106764.75,73.78323364,8.303977013,255.9375,1443835,48.87099838,6.762978554
63,CR197472288348569600,100,70.1665968,250,292.96875,487846.5625,80.28590393,8.445100784,292.96875,820355.375,67.26733398,8.063959122,292.96875,522278,81.6991272,8.452665329
64,CR19786811253456896,1000,31.39892126,90,255.9375,1221496.25,239.6698761,15.38499832,255.9375,1252452.375,241.4445953,15.4678545,255.9375,1198084.875,241.3057098,15.46415901
65,CR200555318952853504,100,58.41994009,600,375,1014074.875,82.85917664,8.716338158,375,1383941.625,70.85620117,8.244974136,375,1107506.25,78.28242493,8.423284531
66,CR200942896801644544,100,67.27441446,600,375,3209387.75,216.2545013,14.34973907,375,3400952.5,209.3882751,14.04440308,375,3060613.5,199.4787903,13.63110065
67,CR203933018673381376,100,58.16987369,250,292.96875,753991.3125,92.77474976,8.832719803,292.96875,697446.8125,82.29842377,8.422282219,292.96875,583719.125,70.48366547,7.750329494
68,CR20517436730114048,100,70.62571252,280,367.5,486801.2813,63.4453125,6.941089153,367.5,490787.375,60.11872864,6.791088104,367.5,439583.5313,79.1105957,7.873413563
69,CR207169980905553920,100,70.1665968,250,292.96875,487846.5625,80.28590393,8.445100784,292.96875,820355.375,67.26733398,8.063959122,292.96875,522278,81.6991272,8.452665329
70,CR209566916254105600,1000,32.10836986,280,367.5,792128.1875,213.8703308,14.19237709,367.5,830773.3125,223.624939,14.6432724,367.5,775444.75,219.8282776,14.46356678
71,CR210138662300549120,100,69.11404606,90,255.9375,474052.3438,99.08442688,9.186228752,255.9375,645081,78.73064423,8.573277473,255.9375,474451.25,100.4974899,9.2289114
72,CR214629067788386304,1000,60.76064355,250,292.96875,1419136.5,200.9097748,13.71505451,292.96875,1373656.375,194.6413879,13.44081402,292.96875,1082494.75,158.4811401,11.91620255
73,CR224480691973259264,100,65.82263566,600,375,2999249.25,224.246109,14.68460083,375,2917126.75,226.6174622,14.79738903,375,2277873.75,202.3121796,13.73470211
74,CR411815483113734144,1000,119.1363271,90,255.9375,827640.1875,139.3418427,11.2091732,255.9375,1148342.375,125.1637421,10.40083694,255.9375,1121682.5,120.0906296,10.15368748
75,CR413363595485642752,1000,74.72340681,280,367.5,277581.0938,88.75968933,8.013463974,367.5,259146.0313,126.5273895,10.32587719,367.5,242333.2969,134.7246857,10.54626083
76,CR413491138834464768,100,67.79325207,90,255.9375,91021.02344,22.20416641,3.746708632,255.9375,84151.92969,22.23806,3.816510439,255.9375,104590.0156,46.13142776,5.73743391
77,CR417397153892139008,100,70.62571252,280,367.5,486801.2813,63.4453125,6.941089153,367.5,490787.375,60.11872864,6.791088104,367.5,439583.5313,79.1105957,7.873413563
78,CR419120638368677888,1000,70.1683972,90,255.9375,1230030.625,139.4844208,11.11830521,255.9375,1328811.875,137.0576782,11.03074551,255.9375,1014514.875,87.92564392,8.82474041
79,CR426967303100301312,100,100.3317388,90,255.9375,1639052.25,51.97692871,7.098694801,255.9375,2106764.75,73.78323364,8.303977013,255.9375,1443835,48.87099838,6.762978554
80,CR430062978088304640,100,55.8841054,280,367.5,1264815,92.54948425,8.88215065,367.5,1174391.625,87.03396606,8.668304443,367.5,956098.1875,70.28643799,7.799300671
81,CR431307625250947072,1000,69.11404606,90,255.9375,474052.3438,99.08442688,9.186228752,255.9375,645081,78.73064423,8.573277473,255.9375,474451.25,100.4974899,9.2289114
82,CR43210806971596800,1000,59.26683747,600,703.125,4805320,93.19316101,9.384366035,703.125,6270902,75.89675903,8.490940094,703.125,5406495,85.57967377,8.862417221
83,CR432222418925256704,100,110.346967,600,703.125,13619326,228.024826,14.90010643,703.125,15142753,223.5108948,14.69102097,703.125,14898492,221.6657715,14.60432148
84,CR432596802634514432,100,57.85585364,90,255.9375,1989847.625,206.430191,13.91102314,255.9375,2032641.875,204.2114105,13.81792831,255.9375,2784763.5,205.6300507,13.9433651
85,CR435023974552829952,100,69.11404606,90,255.9375,474052.3438,99.08442688,9.186228752,255.9375,645081,78.73064423,8.573277473,255.9375,474451.25,100.4974899,9.2289114
86,CR439804651110400,100,69.11404606,90,255.9375,474052.3438,99.08442688,9.186228752,255.9375,645081,78.73064423,8.573277473,255.9375,474451.25,100.4974899,9.2289114
87,CR43998057297084416,1000,59.26683747,600,703.125,4805320,93.19316101,9.384366035,703.125,6270902,75.89675903,8.490940094,703.125,5406495,85.57967377,8.862417221
88,CR441792568133419008,100,58.41994009,600,375,1014074.875,82.85917664,8.716338158,375,1383941.625,70.85620117,8.244974136,375,1107506.25,78.28242493,8.423284531
89,CR444559489144717312,100,76.75439461,250,292.96875,268398.3125,75.30588531,7.75939703,292.96875,217903.3281,72.62998962,8.013034821,292.96875,213002.4844,78.40103912,8.157749176
90,CR444607317900525568,1000,119.1363271,90,255.9375,827640.1875,139.3418427,11.2091732,255.9375,1148342.375,125.1637421,10.40083694,255.9375,1121682.5,120.0906296,10.15368748
91,CR445099899109769216,100,69.11404606,90,255.9375,474052.3438,99.08442688,9.186228752,255.9375,645081,78.73064423,8.573277473,255.9375,474451.25,100.4974899,9.2289114
92,CR446577642737500160,100,119.1363271,90,255.9375,827640.1875,139.3418427,11.2091732,255.9375,1148342.375,125.1637421,10.40083694,255.9375,1121682.5,120.0906296,10.15368748
93,CR450188988678930432,100,67.27441446,600,375,3209387.75,216.2545013,14.34973907,375,3400952.5,209.3882751,14.04440308,375,3060613.5,199.4787903,13.63110065
94,CR45568709657362432,100,70.62571252,280,367.5,486801.2813,63.4453125,6.941089153,367.5,490787.375,60.11872864,6.791088104,367.5,439583.5313,79.1105957,7.873413563
95,CR456803650631630848,100,76.75439461,250,292.96875,268398.3125,75.30588531,7.75939703,292.96875,217903.3281,72.62998962,8.013034821,292.96875,213002.4844,78.40103912,8.157749176
96,CR458399591759347712,100,119.1363271,90,255.9375,827640.1875,139.3418427,11.2091732,255.9375,1148342.375,125.1637421,10.40083694,255.9375,1121682.5,120.0906296,10.15368748
97,CR459230822549946368,1000,55.8841054,280,367.5,1264815,92.54948425,8.88215065,367.5,1174391.625,87.03396606,8.668304443,367.5,956098.1875,70.28643799,7.799300671
98,CR461201147386920960,100,70.1742456,90,255.9375,1240627.875,152.4770355,11.60259628,255.9375,1348747.25,150.0925751,11.53112316,255.9375,999031.375,98.88422394,9.213274956
99,CR46413134587494400,100,84.51121575,600,703.125,10125590,55.70610046,7.063774109,703.125,12881665,74.30251312,8.121213913,703.125,8402925,38.65818787,5.858608723
100,CR469569530385924096,100,31.39892126,90,255.9375,1221496.25,239.6698761,15.38499832,255.9375,1252452.375,241.4445953,15.4678545,255.9375,1198084.875,241.3057098,15.46415901
101,CR473832886722625536,100,93.6166209,250,292.96875,1125274,36.18561935,5.850612164,292.96875,1324016.625,41.73927689,6.168969631,292.96875,1061920.75,42.12664032,6.160017014
102,CR4754838034317312,100,74.22308821,250,292.96875,318350.0625,66.34893036,7.217573166,292.96875,322243.5625,63.02228546,7.083534718,292.96875,307556.2813,78.99607849,8.095726967
103,CR47727600738500608,100,58.41994009,600,375,1014074.875,82.85917664,8.716338158,375,1383941.625,70.85620117,8.244974136,375,1107506.25,78.28242493,8.423284531
104,CR481058327384555520,100,58.41994009,600,375,1014074.875,82.85917664,8.716338158,375,1383941.625,70.85620117,8.244974136,375,1107506.25,78.28242493,8.423284531
105,CR487484423093092352,100,79.68333708,600,703.125,4791024.5,87.69464874,9.074319839,703.125,4513023,85.47809601,8.963315964,703.125,5769993.5,91.61231232,9.21518898
106,CR487800532686077952,100,55.8841054,280,367.5,1264815,92.54948425,8.88215065,367.5,1174391.625,87.03396606,8.668304443,367.5,956098.1875,70.28643799,7.799300671
107,CR488517414267387904,1000,70.1665968,250,292.96875,487846.5625,80.28590393,8.445100784,292.96875,820355.375,67.26733398,8.063959122,292.96875,522278,81.6991272,8.452665329
108,CR488631763476676608,100,65.82263566,600,375,2999249.25,224.246109,14.68460083,375,2917126.75,226.6174622,14.79738903,375,2277873.75,202.3121796,13.73470211
109,CR489911595011407872,100,59.26683747,600,703.125,4805320,93.19316101,9.384366035,703.125,6270902,75.89675903,8.490940094,703.125,5406495,85.57967377,8.862417221
110,CR491318969894961152,100,62.50753852,280,367.5,307589,17.97787285,3.959066629,367.5,259550.7813,23.71022606,4.072707653,367.5,318986.75,56.88489151,6.291290283
111,CR49227884354600960,100,84.51121575,600,703.125,10125590,55.70610046,7.063774109,703.125,12881665,74.30251312,8.121213913,703.125,8402925,38.65818787,5.858608723
112,CR495224984952635392,100,93.6166209,250,292.96875,1125274,36.18561935,5.850612164,292.96875,1324016.625,41.73927689,6.168969631,292.96875,1061920.75,42.12664032,6.160017014
113,CR496257976126930944,100,110.346967,600,703.125,13619326,228.024826,14.90010643,703.125,15142753,223.5108948,14.69102097,703.125,14898492,221.6657715,14.60432148
114,CR496671392498974720,100,32.40746838,280,367.5,633476.75,210.4361877,14.02333641,367.5,665792.75,222.8214722,14.59504032,367.5,619875.5,216.7567596,14.30272865
115,CR498074369336016896,100,57.39485741,280,367.5,2738077,205.4690247,13.93593025,367.5,2709090,202.9524689,13.82277107,367.5,2225519.25,170.8309784,12.49289036
116,CR498360242359238656,1000,32.10836986,280,367.5,792128.1875,213.8703308,14.19237709,367.5,830773.3125,223.624939,14.6432724,367.5,775444.75,219.8282776,14.46356678
117,CR498716484126638080,100,31.39892126,90,255.9375,1221496.25,239.6698761,15.38499832,255.9375,1252452.375,241.4445953,15.4678545,255.9375,1198084.875,241.3057098,15.46415901
118,CR505035377451466752,100,31.39892126,90,255.9375,1221496.25,239.6698761,15.38499832,255.9375,1252452.375,241.4445953,15.4678545,255.9375,1198084.875,241.3057098,15.46415901
119,CR510283896206655488,100,76.75439461,250,292.96875,268398.3125,75.30588531,7.75939703,292.96875,217903.3281,72.62998962,8.013034821,292.96875,213002.4844,78.40103912,8.157749176
120,CR511162955753062400,1000,59.26683747,600,703.125,4805320,93.19316101,9.384366035,703.125,6270902,75.89675903,8.490940094,703.125,5406495,85.57967377,8.862417221
121,CR51514318784561152,100,63.28991007,600,703.125,12984255,229.8011627,14.93317318,703.125,13039217,230.5187225,14.96980953,703.125,10344921,219.3930511,14.47115707
147,CR132346015612141568,200,139.2570404,90,255.9375,8255218,234.861908,15.21458817,255.9375,8255453.5,234.8901062,15.21585655,255.9375,8258499.5,234.9254913,15.21755695
148,CR171752512351633408,400,44.79753374,90,255.9375,5533290.5,232.3237152,15.08206844,255.9375,5534410,232.3041687,15.08092213,255.9375,5534516.5,232.4207306,15.08578205
149,CR216788508625338368,10000,44.16413409,250,947.265625,57919780,247.2544708,15.73193932,947.265625,58054776,247.3780518,15.73768616,947.265625,58100480,247.6531372,15.75060177
150,CR233114057274556416,10000,142.0469767,90,255.9375,6952472.5,207.5114594,14.14573193,255.9375,6952556,207.546051,14.1472311,255.9375,6955284,207.5902405,14.14937019
151,CR310801150846697472,1000,132.8723143,250,292.96875,4847000.5,224.933609,14.80616093,292.96875,4847296,225.1940613,14.81795883,292.96875,4877682.5,225.3706055,14.82513905
152,CR482219411663486976,1000,15.63230209,90,255.9375,380709.0313,96.49958038,8.276275635,255.9375,395211.9375,89.62877655,7.928371429,255.9375,367561.25,103.6519547,8.665133476
153,CR501641185056522240,1000,15.55941198,90,255.9375,433167.5625,118.90448,9.456316948,255.9375,445249.75,112.527626,9.135982513,255.9375,417667.3438,127.9940491,9.92085743
154,CR507270684590735360,200,135.0485747,250,947.265625,33221158,215.75737,14.38900757,947.265625,48402428,243.5929718,15.56989479,947.265625,10065445,76.07536316,8.220714569
155,CR109687279986933760,100,129.8746343,90,255.9375,4586114.5,226.705658,14.84413052,255.9375,2346346.5,202.1291504,13.78483486,255.9375,2285081.75,207.4468689,14.02091503
156,CR115492701381591040,1000,66.71461483,90,255.9375,3560495,191.2646027,13.52914429,255.9375,3643912,192.444931,13.55017185,255.9375,3529413,191.5746918,13.53368759
157,CR115844545102479360,100,57.67146348,250,292.96875,332205.875,133.0408173,10.65923786,292.96875,421181.8438,167.9203491,12.23962402,292.96875,431591.0313,188.1921997,13.1665163
158,CR131255300077387776,1000,57.0994817,90,255.9375,879346.75,116.3148804,10.65778065,255.9375,874085.75,112.7803192,10.4639473,255.9375,841647.875,115.1253128,10.62438488
159,CR14443184742465536,1000,59.16009287,600,375,4506823,212.2702179,14.26007271,375,4862901,217.2203979,14.43676662,375,4709892,216.9931335,14.44029713
160,CR152858504539930624,100,57.48787372,250,292.96875,383556.7813,118.8645172,9.853103638,292.96875,450733.125,163.7664795,11.97509098,292.96875,471334.3438,181.1471558,12.80885887
161,CR153280717004996608,1000,70.52177118,90,255.9375,3555333.5,196.3035126,13.71591187,255.9375,3686419.5,196.3683014,13.69270897,255.9375,3576279.5,194.4799805,13.64809132
163,CR161654597562138624,100,61.70345618,50,62.5,188616.6563,183.3527832,13.23518562,62.5,197750.3906,187.6295319,13.37565041,62.5,187574.2344,190.6760559,13.49072742
164,CR177628302490468352,1000,61.70345618,50,62.5,188616.6563,183.3527832,13.23518562,62.5,197750.3906,187.6295319,13.37565041,62.5,187574.2344,190.6760559,13.49072742
165,CR187339189186985984,1000,72.40518462,600,375,761255.125,56.35319138,6.661502838,375,776676.1875,54.57275391,6.596662045,375,784231,54.36340332,6.608205318
167,CR214360786951208960,100,56.09755177,90,255.9375,853613.75,116.5097275,10.71084404,255.9375,843508.875,115.7505188,10.68809795,255.9375,819247.625,117.95327,10.82051659
168,CR217105167974137856,100,66.71461483,90,255.9375,3560495,191.2646027,13.52914429,255.9375,3643912,192.444931,13.55017185,255.9375,3529413,191.5746918,13.53368759
170,CR227801217089142784,100,47.19074397,600,703.125,32948756,249.9505615,15.85643387,703.125,32605538,249.6193848,15.84109306,703.125,33335172,249.880661,15.85347271
171,CR227871585833320448,1000,64.59846339,90,255.9375,3480150.75,188.8526917,13.44050026,255.9375,3587543,189.4928436,13.44332695,255.9375,3492112.75,189.5451202,13.45907497
172,CR232014545646780416,100,69.29880265,600,375,701178.4375,91.36185455,9.070363045,375,839792.25,82.82640839,8.524570465,375,800239.375,85.72824097,8.71854496
173,CR234908460251086848,100,59.16009287,600,375,4506823,212.2702179,14.26007271,375,4862901,217.2203979,14.43676662,375,4709892,216.9931335,14.44029713
174,CR236034360157929472,100,66.71461483,90,255.9375,3560495,191.2646027,13.52914429,255.9375,3643912,192.444931,13.55017185,255.9375,3529413,191.5746918,13.53368759
175,CR250108108993462272,100,51.70131568,50,62.5,29998.78906,201.846405,13.60912323,62.5,28253.64844,193.3914185,13.2951088,62.5,26076.19531,198.0500488,13.50475597
176,CR254532543783632896,100,73.61926321,90,255.9375,993255.25,110.2871399,10.3688612,255.9375,1127636.875,115.4387131,10.5741663,255.9375,1167353.375,115.5224152,10.60987949
177,CR254611708620832768,100,64.59846339,90,255.9375,3480150.75,188.8526917,13.44050026,255.9375,3587543,189.4928436,13.44332695,255.9375,3492112.75,189.5451202,13.45907497
178,CR257910243504160768,100,84.36000328,50,62.5,112531.7188,126.3943329,11.0223856,62.5,128919.1172,129.0967102,11.08478928,62.5,124930.7578,121.9716644,10.84249592
179,CR261507845550243840,1000,57.0994817,90,255.9375,879346.75,116.3148804,10.65778065,255.9375,874085.75,112.7803192,10.4639473,255.9375,841647.875,115.1253128,10.62438488
180,CR264665642945216512,10,57.9747203,250,292.96875,896302.75,227.2355957,14.79012394,292.96875,1048695,229.333313,14.89510059,292.96875,1007130.688,229.2782593,14.88953209
181,CR269529882386497536,20,47.19074397,600,703.125,32948756,249.9505615,15.85643387,703.125,32605538,249.6193848,15.84109306,703.125,33335172,249.880661,15.85347271
184,CR329484052425867264,1000,59.16009287,600,375,4506823,212.2702179,14.26007271,375,4862901,217.2203979,14.43676662,375,4709892,216.9931335,14.44029713
185,CR341868951401136128,100,57.13609309,250,292.96875,356181.7813,123.2547913,10.09135342,292.96875,445053.3438,157.5564117,11.65600109,292.96875,466539.2188,175.2414703,12.48652935
186,CR347639188423704576,1000,69.89280435,50,62.5,113737.2266,144.8834381,11.78269672,62.5,126248.8047,152.1816406,11.98120689,62.5,112538.7266,151.9264221,12.02355957
187,CR351157625632587776,100,57.0994817,90,255.9375,879346.75,116.3148804,10.65778065,255.9375,874085.75,112.7803192,10.4639473,255.9375,841647.875,115.1253128,10.62438488
188,CR353057581725384704,100,57.13609309,250,292.96875,356181.7813,123.2547913,10.09135342,292.96875,445053.3438,157.5564117,11.65600109,292.96875,466539.2188,175.2414703,12.48652935
189,CR360657406096572416,100,51.70131568,50,62.5,29998.78906,201.846405,13.60912323,62.5,28253.64844,193.3914185,13.2951088,62.5,26076.19531,198.0500488,13.50475597
